randomise_blocks,randomise_trials,display,Image_Left,Image_Right,Image_Left_Bold,Image_Right_Bold,duration_outcome,duration_iti,stim1,stim2,reward_amt,loss_amt,stim1_prob,stim2_prob,ANSWER
,,BeginBlock,,,,,,,,,,,,,
,,BeginBlockHappiness,,,,,,,,,,,,,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,HappinessRating,,,,,,,,,,,,,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,Trials,stim2,stim1,stim2,stim1,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
1.0,,HappinessRating,,,,,,,,,,,,,
1.0,,Trials,stim1,stim2,stim1,stim2,1500.0,1000.0,stim1,stim2,30.0,10.0,0.8,0.2,
